"short_description","icd_code","long_title"
"Hospital observation services","G960   ","Cerebrospinal fluid leak"
"Nervous system","G960   ","Cerebrospinal fluid leak"
"Hospital observation services","G9619  ","Other disorders of meninges, not elsewhere classified"
"Male genital system","G9619  ","Other disorders of meninges, not elsewhere classified"
"Urinary system","G9619  ","Other disorders of meninges, not elsewhere classified"
"Female genital system","G970   ","Cerebrospinal fluid leak from spinal puncture"
"Hospital observation services","G970   ","Cerebrospinal fluid leak from spinal puncture"
"Hospital observation services","G971   ","Other reaction to spinal and lumbar puncture"
"Nervous system","G971   ","Other reaction to spinal and lumbar puncture"
"Hospital observation services","G9741  ","Accidental puncture or laceration of dura during a procedure"
"Nervous system","G9741  ","Accidental puncture or laceration of dura during a procedure"
"Hospital observation services","G9749  ","Accidental puncture and laceration of other nervous system organ or structure during other procedure"
"Hospital observation services","G9781  ","Other intraoperative complications of nervous system"
"Musculoskeletal system","G9781  ","Other intraoperative complications of nervous system"
"Nervous system","G9781  ","Other intraoperative complications of nervous system"
"Hospital observation services","G9782  ","Other postprocedural complications and disorders of nervous system"
"Hospital observation services","G988   ","Other disorders of nervous system"
"Urinary system","G988   ","Other disorders of nervous system"
"Hospital observation services","G990   ","Autonomic neuropathy in diseases classified elsewhere"
"Hospital observation services","G992   ","Myelopathy in diseases classified elsewhere"
"Integumentary system","G992   ","Myelopathy in diseases classified elsewhere"
"Nervous system","G992   ","Myelopathy in diseases classified elsewhere"
"Hospital observation services","H00013 ","Hordeolum externum right eye, unspecified eyelid"
"Hospital observation services","H00015 ","Hordeolum externum left lower eyelid"
"Hospital observation services","H00016 ","Hordeolum externum left eye, unspecified eyelid"
"Digestive system","H00019 ","Hordeolum externum unspecified eye, unspecified eyelid"
"Hospital observation services","H00022 ","Hordeolum internum right lower eyelid"
"Hospital observation services","H00024 ","Hordeolum internum left upper eyelid"
"Integumentary system","H00024 ","Hordeolum internum left upper eyelid"
"Hospital observation services","H01003 ","Unspecified blepharitis right eye, unspecified eyelid"
"Hospital observation services","H01004 ","Unspecified blepharitis left upper eyelid"
"Integumentary system","H01004 ","Unspecified blepharitis left upper eyelid"
"Eye and ocular adnexa","H02105 ","Unspecified ectropion of left lower eyelid"
"Hospital observation services","H02105 ","Unspecified ectropion of left lower eyelid"
"Hospital observation services","H0234  ","Blepharochalasis left upper eyelid"
"Integumentary system","H0234  ","Blepharochalasis left upper eyelid"
"Cardiovascular system","H02401 ","Unspecified ptosis of right eyelid"
"Hospital observation services","H02401 ","Unspecified ptosis of right eyelid"
"Nervous system","H02401 ","Unspecified ptosis of right eyelid"
"Respiratory system","H02401 ","Unspecified ptosis of right eyelid"
"Cardiovascular","H02402 ","Unspecified ptosis of left eyelid"
"Digestive system","H02402 ","Unspecified ptosis of left eyelid"
"Hospital observation services","H02402 ","Unspecified ptosis of left eyelid"
"Musculoskeletal system","H02402 ","Unspecified ptosis of left eyelid"
"Nervous system","H02402 ","Unspecified ptosis of left eyelid"
"Digestive system","H02409 ","Unspecified ptosis of unspecified eyelid"
"Hospital observation services","H02409 ","Unspecified ptosis of unspecified eyelid"
"Urinary system","H02409 ","Unspecified ptosis of unspecified eyelid"
"Hospital observation services","H02529 ","Blepharophimosis unspecified eye, unspecified lid"
"Respiratory system","H02529 ","Blepharophimosis unspecified eye, unspecified lid"
"Musculoskeletal system","H0263  ","Xanthelasma of right eye, unspecified eyelid"
"Nervous system","H0263  ","Xanthelasma of right eye, unspecified eyelid"
"Musculoskeletal system","H0266  ","Xanthelasma of left eye, unspecified eyelid"
"Nervous system","H0266  ","Xanthelasma of left eye, unspecified eyelid"
"Hospital observation services","H02843 ","Edema of right eye, unspecified eyelid"
"Eye and ocular adnexa","H02846 ","Edema of left eye, unspecified eyelid"
"Hospital observation services","H02846 ","Edema of left eye, unspecified eyelid"
"Hospital observation services","H029   ","Unspecified disorder of eyelid"
"Eye and ocular adnexa","H04122 ","Dry eye syndrome of left lacrimal gland"
"Hospital observation services","H04123 ","Dry eye syndrome of bilateral lacrimal glands"
"Male genital system","H04123 ","Dry eye syndrome of bilateral lacrimal glands"
"Urinary system","H04123 ","Dry eye syndrome of bilateral lacrimal glands"
"Digestive system","H04129 ","Dry eye syndrome of unspecified lacrimal gland"
"Hospital observation services","H04129 ","Dry eye syndrome of unspecified lacrimal gland"
"Urinary system","H04129 ","Dry eye syndrome of unspecified lacrimal gland"
"Hospital observation services","H04201 ","Unspecified epiphora, right side"
"Digestive system","H05012 ","Cellulitis of left orbit"
"Hospital observation services","H0520  ","Unspecified exophthalmos"
"Nervous system","H0520  ","Unspecified exophthalmos"
"Hospital observation services","H05221 ","Edema of right orbit"
"Eye and ocular adnexa","H05222 ","Edema of left orbit"
"Hospital observation services","H05222 ","Edema of left orbit"
"Hospital observation services","H05231 ","Hemorrhage of right orbit"
"Hospital observation services","H05232 ","Hemorrhage of left orbit"
"Hospital observation services","H05233 ","Hemorrhage of bilateral orbit"
"Hospital observation services","H05421 ","Enophthalmos due to trauma or surgery, right eye"
"Musculoskeletal system","H05421 ","Enophthalmos due to trauma or surgery, right eye"
"Hospital observation services","H10029 ","Other mucopurulent conjunctivitis, unspecified eye"
"Hospital observation services","H1013  ","Acute atopic conjunctivitis, bilateral"
"Hospital observation services","H10213 ","Acute toxic conjunctivitis, bilateral"
"Digestive system","H109   ","Unspecified conjunctivitis"
"Female genital system","H109   ","Unspecified conjunctivitis"
"Hospital observation services","H109   ","Unspecified conjunctivitis"
"Maternity care and delivery","H109   ","Unspecified conjunctivitis"
"Eye and ocular adnexa","H11242 ","Scarring of conjunctiva, left eye"
"Hospital observation services","H11242 ","Scarring of conjunctiva, left eye"
"Hospital observation services","H1130  ","Conjunctival hemorrhage, unspecified eye"
"Hospital observation services","H1131  ","Conjunctival hemorrhage, right eye"
"Hospital observation services","H1132  ","Conjunctival hemorrhage, left eye"
"Eye and ocular adnexa","H11421 ","Conjunctival edema, right eye"
"Hospital observation services","H11421 ","Conjunctival edema, right eye"
"Musculoskeletal system","H11421 ","Conjunctival edema, right eye"
"Eye and ocular adnexa","H11442 ","Conjunctival cysts, left eye"
"Female genital system","H15009 ","Unspecified scleritis, unspecified eye"
"Hospital observation services","H15009 ","Unspecified scleritis, unspecified eye"
"Digestive system","H15092 ","Other scleritis, left eye"
"Hospital observation services","H15092 ","Other scleritis, left eye"
"Digestive system","H15099 ","Other scleritis, unspecified eye"
"Hospital observation services","H15102 ","Unspecified episcleritis, left eye"
"Hospital observation services","H15823 ","Localized anterior staphyloma, bilateral"
"Hospital observation services","H16001 ","Unspecified corneal ulcer, right eye"
"Hospital observation services","H16129 ","Filamentary keratitis, unspecified eye"
"Digestive system","H1850  ","Unspecified hereditary corneal dystrophies"
"Hospital observation services","H1850  ","Unspecified hereditary corneal dystrophies"
"Urinary system","H1851  ","Endothelial corneal dystrophy"
"Urinary system","H18603 ","Keratoconus, unspecified, bilateral"
"Hospital observation services","H189   ","Unspecified disorder of cornea"
"Nervous system","H189   ","Unspecified disorder of cornea"
"Male genital system","H2012  ","Chronic iridocyclitis, left eye"
"Hospital observation services","H2013  ","Chronic iridocyclitis, bilateral"
"Hospital observation services","H209   ","Unspecified iridocyclitis"
"Nervous system","H209   ","Unspecified iridocyclitis"
"Hospital observation services","H219   ","Unspecified disorder of iris and ciliary body"
"Urinary system","H2511  ","Age-related nuclear cataract, right eye"
"Eye and ocular adnexa","H2512  ","Age-related nuclear cataract, left eye"
"Hospital observation services","H2513  ","Age-related nuclear cataract, bilateral"
"Hospital observation services","H26219 ","Cataract with neovascularization, unspecified eye"
"Hospital observation services","H2633  ","Drug-induced cataract, bilateral"
"Digestive system","H268   ","Other specified cataract"
"Hospital observation services","H268   ","Other specified cataract"
"Urinary system","H268   ","Other specified cataract"
"Cardiovascular","H269   ","Unspecified cataract"
"Digestive system","H269   ","Unspecified cataract"
"Eye and ocular adnexa","H269   ","Unspecified cataract"
"Female genital system","H269   ","Unspecified cataract"
"Hospital observation services","H269   ","Unspecified cataract"
"Male genital system","H269   ","Unspecified cataract"
"Respiratory system","H269   ","Unspecified cataract"
"Urinary system","H269   ","Unspecified cataract"
"Hospital observation services","H318   ","Other specified disorders of choroid"
"Eye and ocular adnexa","H33051 ","Total retinal detachment, right eye"
"Hospital observation services","H3320  ","Serous retinal detachment, unspecified eye"
"Hospital observation services","H3322  ","Serous retinal detachment, left eye"
"Hospital observation services","H3323  ","Serous retinal detachment, bilateral"
"Hospital observation services","H33319 ","Horseshoe tear of retina without detachment, unspecified eye"
"Nervous system","H33322 ","Round hole, left eye"
"Eye and ocular adnexa","H3341  ","Traction detachment of retina, right eye"
"Eye and ocular adnexa","H3342  ","Traction detachment of retina, left eye"
"Hospital observation services","H338   ","Other retinal detachments"
"Hospital observation services","H3401  ","Transient retinal artery occlusion, right eye"
"Hospital observation services","H34231 ","Retinal artery branch occlusion, right eye"
"Digestive system","H348310","Tributary (branch) retinal vein occlusion, right eye, with macular edema"
"Hospital observation services","H349   ","Unspecified retinal vascular occlusion"
"Urinary system","H349   ","Unspecified retinal vascular occlusion"
"Digestive system","H3500  ","Unspecified background retinopathy"
"Hospital observation services","H3500  ","Unspecified background retinopathy"
"Hospital observation services","H35039 ","Hypertensive retinopathy, unspecified eye"
"Cardiovascular","H3530  ","Unspecified macular degeneration"
"Cardiovascular system","H3530  ","Unspecified macular degeneration"
"Digestive system","H3530  ","Unspecified macular degeneration"
"Endocrine system","H3530  ","Unspecified macular degeneration"
"Eye and ocular adnexa","H3530  ","Unspecified macular degeneration"
"Female genital system","H3530  ","Unspecified macular degeneration"
"Hemic and lymphatic systems","H3530  ","Unspecified macular degeneration"
"Hospital observation services","H3530  ","Unspecified macular degeneration"
"Integumentary system","H3530  ","Unspecified macular degeneration"
"Male genital system","H3530  ","Unspecified macular degeneration"
"Musculoskeletal system","H3530  ","Unspecified macular degeneration"
"Nervous system","H3530  ","Unspecified macular degeneration"
"Urinary system","H3530  ","Unspecified macular degeneration"
"Female genital system","H353190","Nonexudative age-related macular degeneration, unspecified eye, stage unspecified"
"Eye and ocular adnexa","H353220","Exudative age-related macular degeneration, left eye, stage unspecified"
"Hospital observation services","H353230","Exudative age-related macular degeneration, bilateral, stage unspecified"
"Eye and ocular adnexa","H35372 ","Puckering of macula, left eye"
"Digestive system","H35379 ","Puckering of macula, unspecified eye"
"Hospital observation services","H3552  ","Pigmentary retinal dystrophy"
"Cardiovascular","H3561  ","Retinal hemorrhage, right eye"
"Eye and ocular adnexa","H3562  ","Retinal hemorrhage, left eye"
"Digestive system","H35719 ","Central serous chorioretinopathy, unspecified eye"
"Hospital observation services","H35719 ","Central serous chorioretinopathy, unspecified eye"
"Hospital observation services","H3581  ","Retinal edema"
"Male genital system","H3581  ","Retinal edema"
"Nervous system","H3589  ","Other specified retinal disorders"
"Cardiovascular system","H40009 ","Preglaucoma, unspecified, unspecified eye"
"Hospital observation services","H40009 ","Preglaucoma, unspecified, unspecified eye"
"Urinary system","H40009 ","Preglaucoma, unspecified, unspecified eye"
"Hospital observation services","H40052 ","Ocular hypertension, left eye"
"Hospital observation services","H40053 ","Ocular hypertension, bilateral"
"Cardiovascular","H40059 ","Ocular hypertension, unspecified eye"
"Digestive system","H40059 ","Ocular hypertension, unspecified eye"
"Musculoskeletal system","H40059 ","Ocular hypertension, unspecified eye"
"Cardiovascular system","H4010X0","Unspecified open-angle glaucoma, stage unspecified"
"Digestive system","H4010X0","Unspecified open-angle glaucoma, stage unspecified"
"Hospital observation services","H4010X0","Unspecified open-angle glaucoma, stage unspecified"
"Urinary system","H4010X3","Unspecified open-angle glaucoma, severe stage"
"Eye and ocular adnexa","H401120","Primary open-angle glaucoma, left eye, stage unspecified"
"Female genital system","H401130","Primary open-angle glaucoma, bilateral, stage unspecified"
"Hospital observation services","H401130","Primary open-angle glaucoma, bilateral, stage unspecified"
"Cardiovascular system","H401134","Primary open-angle glaucoma, bilateral, indeterminate stage"
"Cardiovascular system","H401190","Primary open-angle glaucoma, unspecified eye, stage unspecified"
"Endocrine system","H401190","Primary open-angle glaucoma, unspecified eye, stage unspecified"
"Hospital observation services","H401190","Primary open-angle glaucoma, unspecified eye, stage unspecified"
"Nervous system","H401190","Primary open-angle glaucoma, unspecified eye, stage unspecified"
"Male genital system","H401214","Low-tension glaucoma, right eye, indeterminate stage"
"Endocrine system","H401290","Low-tension glaucoma, unspecified eye, stage unspecified"
"Eye and ocular adnexa","H401413","Capsular glaucoma with pseudoexfoliation of lens, right eye, severe stage"
"Cardiovascular system","H4020X0","Unspecified primary angle-closure glaucoma, stage unspecified"
"Digestive system","H4020X0","Unspecified primary angle-closure glaucoma, stage unspecified"
"Female genital system","H4020X0","Unspecified primary angle-closure glaucoma, stage unspecified"
"Musculoskeletal system","H4020X0","Unspecified primary angle-closure glaucoma, stage unspecified"
"Hospital observation services","H40219 ","Acute angle-closure glaucoma, unspecified eye"
"Hospital observation services","H402230","Chronic angle-closure glaucoma, bilateral, stage unspecified"
"Digestive system","H4051X3","Glaucoma secondary to other eye disorders, right eye, severe stage"
"Hospital observation services","H4089  ","Other specified glaucoma"
"Male genital system","H4089  ","Other specified glaucoma"
"Cardiovascular","H409   ","Unspecified glaucoma"
"Cardiovascular system","H409   ","Unspecified glaucoma"
"Digestive system","H409   ","Unspecified glaucoma"
"Endocrine system","H409   ","Unspecified glaucoma"
"Eye and ocular adnexa","H409   ","Unspecified glaucoma"
"Female genital system","H409   ","Unspecified glaucoma"
"Hemic and lymphatic systems","H409   ","Unspecified glaucoma"
"Hospital observation services","H409   ","Unspecified glaucoma"
"Integumentary system","H409   ","Unspecified glaucoma"
"Male genital system","H409   ","Unspecified glaucoma"
"Musculoskeletal system","H409   ","Unspecified glaucoma"
"Nervous system","H409   ","Unspecified glaucoma"
"Respiratory system","H409   ","Unspecified glaucoma"
"Urinary system","H409   ","Unspecified glaucoma"
"Endocrine system","H42    ","Glaucoma in diseases classified elsewhere"
"Eye and ocular adnexa","H42    ","Glaucoma in diseases classified elsewhere"
"Hemic and lymphatic systems","H42    ","Glaucoma in diseases classified elsewhere"
"Hospital observation services","H42    ","Glaucoma in diseases classified elsewhere"
"Integumentary system","H42    ","Glaucoma in diseases classified elsewhere"
"Eye and ocular adnexa","H4311  ","Vitreous hemorrhage, right eye"
"Hospital observation services","H4311  ","Vitreous hemorrhage, right eye"
"Eye and ocular adnexa","H4312  ","Vitreous hemorrhage, left eye"
"Hospital observation services","H4312  ","Vitreous hemorrhage, left eye"
"Hospital observation services","H4322  ","Crystalline deposits in vitreous body, left eye"
"Cardiovascular","H43392 ","Other vitreous opacities, left eye"
"Digestive system","H43392 ","Other vitreous opacities, left eye"
"Hospital observation services","H43392 ","Other vitreous opacities, left eye"
"Hospital observation services","H43399 ","Other vitreous opacities, unspecified eye"
"Hospital observation services","H43811 ","Vitreous degeneration, right eye"
"Digestive system","H43819 ","Vitreous degeneration, unspecified eye"
"Hospital observation services","H43819 ","Vitreous degeneration, unspecified eye"
"Musculoskeletal system","H43819 ","Vitreous degeneration, unspecified eye"
"Nervous system","H43819 ","Vitreous degeneration, unspecified eye"
"Digestive system","H442E2 ","Degenerative myopia with other maculopathy, left eye"
"Hospital observation services","H468   ","Other optic neuritis"
"Male genital system","H468   ","Other optic neuritis"
"Hospital observation services","H469   ","Unspecified optic neuritis"
"Hospital observation services","H4710  ","Unspecified papilledema"
"Nervous system","H4710  ","Unspecified papilledema"
"Hospital observation services","H4711  ","Papilledema associated with increased intracranial pressure"
"Hospital observation services","H4720  ","Unspecified optic atrophy"
"Digestive system","H47213 ","Primary optic atrophy, bilateral"
"Hospital observation services","H47339 ","Pseudopapilledema of optic disc, unspecified eye"
"Hospital observation services","H4901  ","Third [oculomotor] nerve palsy, right eye"
"Hospital observation services","H4902  ","Third [oculomotor] nerve palsy, left eye"
"Digestive system","H4912  ","Fourth [trochlear] nerve palsy, left eye"
"Hospital observation services","H4912  ","Fourth [trochlear] nerve palsy, left eye"
"Hospital observation services","H4920  ","Sixth [abducent] nerve palsy, unspecified eye"
"Hospital observation services","H4921  ","Sixth [abducent] nerve palsy, right eye"
"Musculoskeletal system","H4921  ","Sixth [abducent] nerve palsy, right eye"
"Hospital observation services","H4922  ","Sixth [abducent] nerve palsy, left eye"
"Nervous system","H4923  ","Sixth [abducent] nerve palsy, bilateral"
"Hospital observation services","H499   ","Unspecified paralytic strabismus"
"Hemic and lymphatic systems","H5000  ","Unspecified esotropia"
"Hospital observation services","H5000  ","Unspecified esotropia"
"Integumentary system","H5000  ","Unspecified esotropia"
"Cardiovascular system","H5010  ","Unspecified exotropia"
"Hospital observation services","H5010  ","Unspecified exotropia"
"Hospital observation services","H50112 ","Monocular exotropia, left eye"
"Hospital observation services","H5021  ","Vertical strabismus, right eye"
"Nervous system","H5021  ","Vertical strabismus, right eye"
"Hospital observation services","H5050  ","Unspecified heterophoria"
"Hospital observation services","H5051  ","Esophoria"
"Hospital observation services","H50611 ","Brown's sheath syndrome, right eye"
"Musculoskeletal system","H50611 ","Brown's sheath syndrome, right eye"
"Cardiovascular system","H509   ","Unspecified strabismus"
"Hemic and lymphatic systems","H509   ","Unspecified strabismus"
"Hospital observation services","H509   ","Unspecified strabismus"
"Integumentary system","H509   ","Unspecified strabismus"
"Nervous system","H509   ","Unspecified strabismus"
"Hospital observation services","H510   ","Palsy (spasm) of conjugate gaze"
"Hospital observation services","H5111  ","Convergence insufficiency"
"Nervous system","H5111  ","Convergence insufficiency"
"Hospital observation services","H5122  ","Internuclear ophthalmoplegia, left eye"
"Nervous system","H5122  ","Internuclear ophthalmoplegia, left eye"
"Hemic and lymphatic systems","H5210  ","Myopia, unspecified eye"
"Integumentary system","H5210  ","Myopia, unspecified eye"
"Hospital observation services","H52201 ","Unspecified astigmatism, right eye"
"Hemic and lymphatic systems","H52209 ","Unspecified astigmatism, unspecified eye"
"Integumentary system","H52209 ","Unspecified astigmatism, unspecified eye"
"Hospital observation services","H524   ","Presbyopia"
"Digestive system","H53002 ","Unspecified amblyopia, left eye"
"Hospital observation services","H53002 ","Unspecified amblyopia, left eye"
"Nervous system","H53003 ","Unspecified amblyopia, bilateral"
"Hemic and lymphatic systems","H53009 ","Unspecified amblyopia, unspecified eye"
"Integumentary system","H53009 ","Unspecified amblyopia, unspecified eye"
"Male genital system","H53009 ","Unspecified amblyopia, unspecified eye"
"Hospital observation services","H53121 ","Transient visual loss, right eye"
"Hospital observation services","H53123 ","Transient visual loss, bilateral"
"Hospital observation services","H53132 ","Sudden visual loss, left eye"
"Hospital observation services","H53142 ","Visual discomfort, left eye"
"Urinary system","H53142 ","Visual discomfort, left eye"
"Hospital observation services","H53149 ","Visual discomfort, unspecified"
"Cardiovascular","H532   ","Diplopia"
"Digestive system","H532   ","Diplopia"
"Eye and ocular adnexa","H532   ","Diplopia"
"Hospital observation services","H532   ","Diplopia"
"Musculoskeletal system","H532   ","Diplopia"
"Nervous system","H532   ","Diplopia"
"Hospital observation services","H5340  ","Unspecified visual field defects"
"Integumentary system","H5340  ","Unspecified visual field defects"
"Nervous system","H5340  ","Unspecified visual field defects"
"Hospital observation services","H53422 ","Scotoma of blind spot area, left eye"
"Hospital observation services","H53451 ","Other localized visual field defect, right eye"
"Hospital observation services","H53452 ","Other localized visual field defect, left eye"
"Hospital observation services","H53453 ","Other localized visual field defect, bilateral"
"Hospital observation services","H53461 ","Homonymous bilateral field defects, right side"
"Hospital observation services","H53462 ","Homonymous bilateral field defects, left side"
"Hospital observation services","H5347  ","Heteronymous bilateral field defects"
"Hospital observation services","H53489 ","Generalized contraction of visual field, unspecified eye"
"Hospital observation services","H5351  ","Achromatopsia"
"Cardiovascular","H538   ","Other visual disturbances"
"Digestive system","H538   ","Other visual disturbances"
"Endocrine system","H538   ","Other visual disturbances"
"Hospital observation services","H538   ","Other visual disturbances"
"Integumentary system","H538   ","Other visual disturbances"
"Nervous system","H538   ","Other visual disturbances"
"Cardiovascular","H539   ","Unspecified visual disturbance"
"Digestive system","H539   ","Unspecified visual disturbance"
"Hospital observation services","H539   ","Unspecified visual disturbance"
"Hospital observation services","H543   ","Unqualified visual loss, both eyes"
"Cardiovascular system","H5440  ","Blindness, one eye, unspecified eye"
"Eye and ocular adnexa","H5440  ","Blindness, one eye, unspecified eye"
"Hospital observation services","H5440  ","Blindness, one eye, unspecified eye"
"Integumentary system","H5440  ","Blindness, one eye, unspecified eye"
"Male genital system","H5440  ","Blindness, one eye, unspecified eye"
"Cardiovascular","H5461  ","Unqualified visual loss, right eye, normal vision left eye"
"Digestive system","H5461  ","Unqualified visual loss, right eye, normal vision left eye"
"Eye and ocular adnexa","H5461  ","Unqualified visual loss, right eye, normal vision left eye"
"Hospital observation services","H5461  ","Unqualified visual loss, right eye, normal vision left eye"
"Cardiovascular system","H5462  ","Unqualified visual loss, left eye, normal vision right eye"
"Hemic and lymphatic systems","H5462  ","Unqualified visual loss, left eye, normal vision right eye"
"Hospital observation services","H5462  ","Unqualified visual loss, left eye, normal vision right eye"
"Integumentary system","H5462  ","Unqualified visual loss, left eye, normal vision right eye"
"Urinary system","H5462  ","Unqualified visual loss, left eye, normal vision right eye"
"Cardiovascular","H547   ","Unspecified visual loss"
"Cardiovascular system","H547   ","Unspecified visual loss"
"Digestive system","H547   ","Unspecified visual loss"
"Eye and ocular adnexa","H547   ","Unspecified visual loss"
"Hospital observation services","H547   ","Unspecified visual loss"
"Musculoskeletal system","H547   ","Unspecified visual loss"
"Nervous system","H547   ","Unspecified visual loss"
"Cardiovascular","H548   ","Legal blindness, as defined in USA"
"Cardiovascular system","H548   ","Legal blindness, as defined in USA"
"Digestive system","H548   ","Legal blindness, as defined in USA"
"Eye and ocular adnexa","H548   ","Legal blindness, as defined in USA"
"Hospital observation services","H548   ","Legal blindness, as defined in USA"
"Integumentary system","H548   ","Legal blindness, as defined in USA"
"Male genital system","H548   ","Legal blindness, as defined in USA"
"Musculoskeletal system","H548   ","Legal blindness, as defined in USA"
"Nervous system","H548   ","Legal blindness, as defined in USA"
"Urinary system","H548   ","Legal blindness, as defined in USA"
"Auditory system","H5500  ","Unspecified nystagmus"
"Hospital observation services","H5500  ","Unspecified nystagmus"
"Nervous system","H5500  ","Unspecified nystagmus"
"Hospital observation services","H5702  ","Anisocoria"
"Musculoskeletal system","H5702  ","Anisocoria"
"Nervous system","H5702  ","Anisocoria"
"Hospital observation services","H5703  ","Miosis"
"Nervous system","H5703  ","Miosis"
"Eye and ocular adnexa","H5704  ","Mydriasis"
"Hospital observation services","H5704  ","Mydriasis"
"Musculoskeletal system","H5704  ","Mydriasis"
"Hospital observation services","H5710  ","Ocular pain, unspecified eye"
"Eye and ocular adnexa","H5711  ","Ocular pain, right eye"
"Hospital observation services","H5711  ","Ocular pain, right eye"
"Urinary system","H5711  ","Ocular pain, right eye"
"Digestive system","H5712  ","Ocular pain, left eye"
"Eye and ocular adnexa","H5712  ","Ocular pain, left eye"
"Hemic and lymphatic systems","H5712  ","Ocular pain, left eye"
"Hospital observation services","H5712  ","Ocular pain, left eye"
"Integumentary system","H5712  ","Ocular pain, left eye"
"Digestive system","H5713  ","Ocular pain, bilateral"
"Hospital observation services","H5713  ","Ocular pain, bilateral"
"Hospital observation services","H579   ","Unspecified disorder of eye and adnexa"
"Hospital observation services","H59091 ","Other disorders of the right eye following cataract surgery"
"Hospital observation services","H6011  ","Cellulitis of right external ear"
"Integumentary system","H6011  ","Cellulitis of right external ear"
"Hospital observation services","H6012  ","Cellulitis of left external ear"
"Hospital observation services","H60502 ","Unspecified acute noninfective otitis externa, left ear"
"Hospital observation services","H6091  ","Unspecified otitis externa, right ear"
"Hospital observation services","H6092  ","Unspecified otitis externa, left ear"
"Hospital observation services","H6093  ","Unspecified otitis externa, bilateral"
"Hospital observation services","H61001 ","Unspecified perichondritis of right external ear"
"Hospital observation services","H61002 ","Unspecified perichondritis of left external ear"
"Hospital observation services","H61031 ","Chondritis of right external ear"
"Auditory system","H61112 ","Acquired deformity of pinna, left ear"
"Hospital observation services","H61112 ","Acquired deformity of pinna, left ear"
"Integumentary system","H61112 ","Acquired deformity of pinna, left ear"
"Musculoskeletal system","H61112 ","Acquired deformity of pinna, left ear"
"Hospital observation services","H6121  ","Impacted cerumen, right ear"
"Urinary system","H6122  ","Impacted cerumen, left ear"
"Hospital observation services","H6123  ","Impacted cerumen, bilateral"
"Hospital observation services","H6690  ","Otitis media, unspecified, unspecified ear"
"Respiratory system","H6690  ","Otitis media, unspecified, unspecified ear"
"Urinary system","H6690  ","Otitis media, unspecified, unspecified ear"
"Auditory system","H6691  ","Otitis media, unspecified, right ear"
"Hospital observation services","H6691  ","Otitis media, unspecified, right ear"
"Musculoskeletal system","H6691  ","Otitis media, unspecified, right ear"
"Cardiovascular","H6692  ","Otitis media, unspecified, left ear"
"Hospital observation services","H6692  ","Otitis media, unspecified, left ear"
"Hospital observation services","H6693  ","Otitis media, unspecified, bilateral"
"Hospital observation services","H6990  ","Unspecified Eustachian tube disorder, unspecified ear"
"Respiratory system","H6990  ","Unspecified Eustachian tube disorder, unspecified ear"
"Hospital observation services","H70001 ","Acute mastoiditis without complications, right ear"
"Hospital observation services","H70002 ","Acute mastoiditis without complications, left ear"
"Hospital observation services","H7012  ","Chronic mastoiditis, left ear"
"Cardiovascular","H7090  ","Unspecified mastoiditis, unspecified ear"
"Auditory system","H7191  ","Unspecified cholesteatoma, right ear"
"Hospital observation services","H7191  ","Unspecified cholesteatoma, right ear"
"Musculoskeletal system","H7191  ","Unspecified cholesteatoma, right ear"
"Hospital observation services","H7292  ","Unspecified perforation of tympanic membrane, left ear"
"Hospital observation services","H7293  ","Unspecified perforation of tympanic membrane, bilateral"
"Auditory system","H73891 ","Other specified disorders of tympanic membrane, right ear"
"Hospital observation services","H73891 ","Other specified disorders of tympanic membrane, right ear"
"Musculoskeletal system","H73891 ","Other specified disorders of tympanic membrane, right ear"
"Hospital observation services","H73892 ","Other specified disorders of tympanic membrane, left ear"
"Cardiovascular","H73893 ","Other specified disorders of tympanic membrane, bilateral"
"Auditory system","H748X1 ","Other specified disorders of right middle ear and mastoid"
"Hospital observation services","H748X1 ","Other specified disorders of right middle ear and mastoid"
"Nervous system","H748X1 ","Other specified disorders of right middle ear and mastoid"
"Endocrine system","H8090  ","Unspecified otosclerosis, unspecified ear"
"Hospital observation services","H8090  ","Unspecified otosclerosis, unspecified ear"
"Musculoskeletal system","H8102  ","Meniere's disease, left ear"
"Cardiovascular system","H8109  ","Meniere's disease, unspecified ear"
"Digestive system","H8109  ","Meniere's disease, unspecified ear"
"Hemic and lymphatic systems","H8109  ","Meniere's disease, unspecified ear"
"Hospital observation services","H8109  ","Meniere's disease, unspecified ear"
"Integumentary system","H8109  ","Meniere's disease, unspecified ear"
"Male genital system","H8109  ","Meniere's disease, unspecified ear"
"Nervous system","H8109  ","Meniere's disease, unspecified ear"
"Cardiovascular","H8110  ","Benign paroxysmal vertigo, unspecified ear"
"Digestive system","H8110  ","Benign paroxysmal vertigo, unspecified ear"
"Female genital system","H8110  ","Benign paroxysmal vertigo, unspecified ear"
"Hemic and lymphatic systems","H8110  ","Benign paroxysmal vertigo, unspecified ear"
"Hospital observation services","H8110  ","Benign paroxysmal vertigo, unspecified ear"
"Integumentary system","H8110  ","Benign paroxysmal vertigo, unspecified ear"
"Hospital observation services","H8111  ","Benign paroxysmal vertigo, right ear"
"Hospital observation services","H8112  ","Benign paroxysmal vertigo, left ear"
"Hospital observation services","H8113  ","Benign paroxysmal vertigo, bilateral"
"Hospital observation services","H8120  ","Vestibular neuronitis, unspecified ear"
"Hospital observation services","H8122  ","Vestibular neuronitis, left ear"
"Hospital observation services","H81391 ","Other peripheral vertigo, right ear"
